,CORRELATION_ID,IDENTIFIER_1,VERSION_NUMBER_1,VERSION_DATE_1,IDENTIFIER_2,VERSION_NUMBER_2,VERSION_DATE_2,CONFIDENCE
651,BLPU_906700439811_TopographicArea_osgb1000040412199_5,906700439811,,20190114000000,osgb1000040412199,11,20150507000000,Version information is correct
929,BLPU_906700368464_TopographicArea_osgb1000040412199_5,906700368464,,20160506000000,osgb1000040412199,11,20150507000000,Version information is correct
1043,BLPU_906700402402_TopographicArea_osgb1000002038441601_5,906700402402,,20200226000000,osgb1000002038441601,2,20051226000000,Version information is correct
1044,BLPU_906700402405_TopographicArea_osgb1000002038441601_5,906700402405,,20160210000000,osgb1000002038441601,2,20051226000000,Version information is correct
1045,BLPU_906700402411_TopographicArea_osgb1000002038441601_5,906700402411,,20160210000000,osgb1000002038441601,2,20051226000000,Version information is correct
1046,BLPU_906700402417_TopographicArea_osgb1000002038441601_5,906700402417,,20160210000000,osgb1000002038441601,2,20051226000000,Version information is correct
1350,BLPU_906700386300_TopographicArea_osgb1000040410578_5,906700386300,,20200226000000,osgb1000040410578,7,20150624000000,Version information is correct
1524,BLPU_906700402395_TopographicArea_osgb1000002038441601_5,906700402395,,20200226000000,osgb1000002038441601,2,20051226000000,Version information is correct
5989,BLPU_906700089671_TopographicArea_osgb1000040410578_5,906700089671,,20201028000000,osgb1000040410578,7,20150624000000,Version information is correct
5992,BLPU_906700089947_TopographicArea_osgb1000040412149_5,906700089947,,20170618000000,osgb1000040412149,7,20090820000000,Version information is correct
6324,BLPU_906700028213_TopographicArea_osgb1000002038441601_5,906700028213,,20160210000000,osgb1000002038441601,2,20051226000000,Version information is correct
66550,BLPU_906700318161_TopographicArea_osgb1000040412275_5,906700318161,,20160210000000,osgb1000040412275,11,20150624000000,Version information is correct
68194,BLPU_906700089675_TopographicArea_osgb1000002038515043_5,906700089675,,20170326000000,osgb1000002038515043,8,20150624000000,Version information is correct
68195,BLPU_906700089676_TopographicArea_osgb1000002038515043_5,906700089676,,20170326000000,osgb1000002038515043,8,20150624000000,Version information is correct
68209,BLPU_906700090456_TopographicArea_osgb1000040412275_5,906700090456,,20160210000000,osgb1000040412275,11,20150624000000,Version information is correct
68210,BLPU_906700090458_TopographicArea_osgb1000040412275_5,906700090458,,20160210000000,osgb1000040412275,11,20150624000000,Version information is correct
68211,BLPU_906700090459_TopographicArea_osgb1000040412275_5,906700090459,,20160210000000,osgb1000040412275,11,20150624000000,Version information is correct
68212,BLPU_906700090469_TopographicArea_osgb1000040412275_5,906700090469,,20160210000000,osgb1000040412275,11,20150624000000,Version information is correct
68213,BLPU_906700090566_TopographicArea_osgb1000040412275_5,906700090566,,20160210000000,osgb1000040412275,11,20150624000000,Version information is correct
363348,BLPU_906700405845_TopographicArea_osgb1000002038515043_5,906700405845,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363349,BLPU_906700405846_TopographicArea_osgb1000002038515043_5,906700405846,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363350,BLPU_906700405851_TopographicArea_osgb1000002038515043_5,906700405851,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363352,BLPU_906700406026_TopographicArea_osgb1000002038515043_5,906700406026,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363354,BLPU_906700406043_TopographicArea_osgb1000002038515043_5,906700406043,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363356,BLPU_906700406100_TopographicArea_osgb1000002038515043_5,906700406100,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363357,BLPU_906700406139_TopographicArea_osgb1000002038515043_5,906700406139,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363358,BLPU_906700406143_TopographicArea_osgb1000002038515043_5,906700406143,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363359,BLPU_906700406161_TopographicArea_osgb1000002038515043_5,906700406161,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363360,BLPU_906700406164_TopographicArea_osgb1000002038515043_5,906700406164,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363361,BLPU_906700406176_TopographicArea_osgb1000002038515043_5,906700406176,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363362,BLPU_906700406178_TopographicArea_osgb1000002038515043_5,906700406178,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363363,BLPU_906700406183_TopographicArea_osgb1000002038515043_5,906700406183,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363365,BLPU_906700406188_TopographicArea_osgb1000002038515043_5,906700406188,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363366,BLPU_906700406200_TopographicArea_osgb1000002038515043_5,906700406200,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363367,BLPU_906700406203_TopographicArea_osgb1000002038515043_5,906700406203,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363368,BLPU_906700406205_TopographicArea_osgb1000002038515043_5,906700406205,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363369,BLPU_906700406207_TopographicArea_osgb1000002038515043_5,906700406207,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363370,BLPU_906700406210_TopographicArea_osgb1000002038515043_5,906700406210,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363371,BLPU_906700406211_TopographicArea_osgb1000002038515043_5,906700406211,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363372,BLPU_906700406220_TopographicArea_osgb1000002038515043_5,906700406220,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363373,BLPU_906700406221_TopographicArea_osgb1000002038515043_5,906700406221,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363374,BLPU_906700406224_TopographicArea_osgb1000002038515043_5,906700406224,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
363375,BLPU_906700406226_TopographicArea_osgb1000002038515043_5,906700406226,,20200226000000,osgb1000002038515043,8,20150624000000,Version information is correct
101446,BLPU_906700415481_TopographicArea_osgb1000002038487482_5,906700415481,,20200226000000,osgb1000002038487482,14,20080210000000,Version information is correct
102895,BLPU_906700054014_TopographicArea_osgb1000002038487482_5,906700054014,,20160506000000,osgb1000002038487482,14,20080210000000,Version information is correct
102896,BLPU_906700054025_TopographicArea_osgb1000002038487482_5,906700054025,,20160506000000,osgb1000002038487482,14,20080210000000,Version information is correct
102903,BLPU_906700054796_TopographicArea_osgb1000002038325841_5,906700054796,,20160210000000,osgb1000002038325841,2,20150201000000,Version information is correct
104322,BLPU_906700016953_TopographicArea_osgb1000002038487482_5,906700016953,,20160506000000,osgb1000002038487482,14,20080210000000,Version information is correct
142628,BLPU_906700366629_TopographicArea_osgb1000002038325841_5,906700366629,,20160210000000,osgb1000002038325841,2,20150201000000,Version information is correct
142648,BLPU_906700368463_TopographicArea_osgb1000002038487482_5,906700368463,,20191018000000,osgb1000002038487482,14,20080210000000,Version information is correct
144058,BLPU_906700346466_TopographicArea_osgb1000002038487482_5,906700346466,,20160506000000,osgb1000002038487482,14,20080210000000,Version information is correct
145393,BLPU_906700536405_TopographicArea_osgb1000002038487482_5,906700536405,,20200526000000,osgb1000002038487482,14,20080210000000,Version information is correct
136210,BLPU_906700502099_TopographicArea_osgb1000040412240_5,906700502099,,20200203000000,osgb1000040412240,14,20131205000000,Version information is correct
139197,BLPU_906700054795_TopographicArea_osgb1000040410552_5,906700054795,,20160210000000,osgb1000040410552,5,20050928000000,Version information is correct
169053,BLPU_906700362607_TopographicArea_osgb1000002038515131_5,906700362607,,20170326000000,osgb1000002038515131,4,20080210000000,Version information is correct
171795,BLPU_906700083252_TopographicArea_osgb1000040410574_5,906700083252,,20200930000000,osgb1000040410574,3,20100429000000,Version information is correct
